Video ID,Title,View Count,Like Count,Comment Count,Category
"f-hG-PiQz30","BLACK MYTH WUKONG Walkthrough Gameplay Part 1 - INTRO (FULL GAME)","6254580","148980","8355","Gaming"
"Gf4j-x-WfGM","Building a Gaming PC w/ Built-in 4K Display - Future of PC Cases? (Hyte Y70 Touch)","809848","23962","869","Gaming"
"DQDfzuNf3CQ","DEEEER Simulator (FULL GAME)","16254313","223259","6840","Gaming"
"lQBmZBJCYcY","Squid Game: Season 2 | Official Teaser | Netflix","17735514","483987","18606","Gaming"
"W18j3d5LkOw","Gaming Music 2023 | Best Music Mix || Best of NoCopyrightSounds","1161909","17273","317","Gaming"
"SH6-sYKToeQ","CRAZIEST GAME WE'VE SEEN IN YEARS, GTA 6 RELEASE DATE RECONFIRMED & MORE","755286","23982","1861","Gaming"
"oM07YH_pVg8","Transforming My Gaming Setup Into My DREAM Gaming Setup","199281","3104","191","Gaming"
"F_JKlvNuMak","10 Brand NEW Games With INSANE Graphics","452255","13457","1270","Gaming"
"F_JKlvNuMak","10 Brand NEW Games With INSANE Graphics","452255","13457","1270","Gaming"
"1FF42JtnDUI","The Best Value Gaming Monitors (1440p & 1080p)","13729","790","172","Gaming"
"yyI5ASTUAAg","Gaming as a Perfectionist","380111","29197","2003","Gaming"
"9QXxid7t9oM","We Won Every Game at the State Fair!","4518724","99863","2157","Gaming"
"azSZtNtRZEQ","Gamers Are Awesome - Episode 150","195550","3533","67","Gaming"
"8fP2wUdGA3U","Police arrest man accused of throwing water bottle after BYU-Utah game","78208","572","496","Gaming"
"5KCP-otzS00","(PS5) THE BEST CHASE IN GAMING HISTORY | Immersive ULTRA Graphics Gameplay[4K 60FPS HDR]Uncharted 4","1007922","7692","174","Gaming"
"BZAlPs7AbFw","SHINCHAN AND FRANKLIN TRIED THE IMPOSSIBLE PARKOUR CHALLENGE GTA 5","176026","2469","45","Gaming"
"96NYUvsX6nU","Gaming test - ROG Phone 9 with Snapdragon 8 Elite!","13082","603","268","Gaming"
"-DnrZUa3P4Q","Best Nightcore Mix 2024 ♫ Gaming Music Mix ♫ New Music 2024 EDM Gaming Music","348563","6727","125","Gaming"
"M3Qm3PO6dRo","90 % Discount New Mystery Shop Event 😱 Tonde Gamer","958099","51399","2696","Gaming"
"K5AphFV34so","Top 25 MOST INSANE New Games from SUMMER GAME FEST coming in 2024 & 2025","1659300","12744","716","Gaming"
"OBVTM4ubMjY","Chicago Bulls vs. New York Knicks - Full Game Highlights | CHSN Chicago Bulls","27613","307","33","Gaming"
"15TzowBINns","The PERFECT Budget Gaming PC","117930","2974","333","Gaming"
"kuEn4v-QBE4","Why the M4 changes EVERYTHING about the future of Mac gaming","41874","1330","196","Gaming"
"OeZ2n22334k","11 BRAND NEW Xbox & Game Pass Games | Any Worth It?!","15750","299","49","Gaming"
"m9cy-pICFU8","HIDE & SEEK in Brookhaven, but only ONE color!!","688713","2528","505","Gaming"
"15TzowBINns","The PERFECT Budget Gaming PC","117930","2974","333","Gaming"
"8ewz6pzhnOM","Victor Wembanyama Drops First 50-Point Game of His Career 🔥","96172","1167","333","Gaming"
"ZonV-CgJzBE","Tom Brady Gets Booed at Knicks Game, Then Throws a Signed Football Into the Crowd","259815","2729","661","Gaming"
"fSIA9zzJjm0","Rockstar Games Finally Fixed The GTA Definitive Edition...","330294","15210","1465","Gaming"
"5GIvrMWzr9k","Ryzen 7 9800X3D, Really Faster For Real-World 4K Gaming?","240919","14227","4505","Gaming"
"iQrtTkt9RLw","The Biggest Games Still To Come in 2024 - Fall Update","261966","4577","562","Gaming"
"xDF58hdXtPo","All Guns In One Wheel🤣Best 1 Vs 6 Challenge😍50 Kills [A_s Gaming] - Free Fire India","86537","3519","354","Gaming"
"0e3GPea1Tyg","$456,000 Squid Game In Real Life!","669940622","18390603","616106","Gaming"
"Gf4j-x-WfGM","Building a Gaming PC w/ Built-in 4K Display - Future of PC Cases? (Hyte Y70 Touch)","809848","23962","869","Gaming"
"DQDfzuNf3CQ","DEEEER Simulator (FULL GAME)","16254313","223259","6840","Gaming"
"DiKTbnGMpG4","My Mom CONTROLS my Fortnite Game 😡","2623257","28477","4496","Gaming"
"RhqSlQeBxlQ","LETS DO CHALLENGES WITH CHICKEN❤️LIVE WITH FaceMe Gaming #girlgamer #bgmilive #pubgmobile","16445","1322","5","Gaming"
"cp-mNLOt-CU","SHINCHAN AND FRANKLIN CELEBRATED DIWALI WITH WORLDS GIANT CRACKERS IN GTA 5","2394426","39315","612","Gaming"
"yyI5ASTUAAg","Gaming as a Perfectionist","380111","29197","2003","Gaming"
"SiHQG68HAlU","50 BEST PC Games of the Last 5 Years","448268","13833","1202","Gaming"
"fEfhJLwIlcU","Mac mini M4 (16GB RAM) - Testing 10 Mac games","161189","2514","299","Gaming"
"Ni-PirR_YWI","73 GAMES TO GET MY FIRST WIN COZ IM SHIT","36","1","0","Gaming"
"fgnYCo29-Zk","1440p gaming just peaked – 480Hz PG27AQDP.","512519","17704","2343","Gaming"
"BN6xevMZl9I","13 Best NEW Games To Play In November 2024","276208","6007","589","Gaming"
"381ECVue_Z0","PS5 Pro Review - Spot the Difference! (10 Games TESTED)","121839","2823","714","Gaming"
"15TzowBINns","The PERFECT Budget Gaming PC","117930","2974","333","Gaming"
"W18j3d5LkOw","Gaming Music 2023 | Best Music Mix || Best of NoCopyrightSounds","1161909","17273","317","Gaming"
"4rtPBlk9rjs","ADLEY found BABY PUFFS!!  Family Roblox with Crazy Babies and Navey is the Mom & Princess Hamsters","230804","1614","220","Gaming"
"4MlKygZKFaM","Budget Gaming PC vs PS5 Pro Challenge","114431","3898","1201","Gaming"
"iTL9aFNKU8E","Internet Speed vs Ping for Gaming","1157620","84798","1270","Gaming"
"fEfhJLwIlcU","Mac mini M4 (16GB RAM) - Testing 10 Mac games","161189","2514","299","Gaming"
"5w9k-rhD6L4","Duke Blue Devils vs. Kentucky Wildcats | Full Game Highlights | ESPN College Basketball","683242","6387","1084","Gaming"
"yyI5ASTUAAg","Gaming as a Perfectionist","380111","29197","2003","Gaming"
"8747TMzISWc","BEST Price to Performance Gaming PC We Could Build!","54645","2151","162","Gaming"
"3tdssT5bjGw","The Best Videogame News This week, XBOX Step 1, Best Games Coming, and the Best Gaming Podcast #478","18908","372","50","Gaming"
"bKKVgBMzgv0","$750 FULL PC Gaming Setup Guide (Includes Everything)","86311","4195","501","Gaming"
"cSLNO-FiipQ","REDMAGIC Gaming Laptop Unboxing + Gameplay Experience (Black Ops 6, Red Dead Redemption)","191071","8787","450","Gaming"
"QnWQGVNMSTo","Unboxing Acer Predator Helios Neo 16🔥 Ultimate Gaming Power?","48851","3372","248","Gaming"
"0r4jyi9HRew","Top 20 NEW Linear Games of 2024","275037","9607","451","Gaming"
"OeZ2n22334k","11 BRAND NEW Xbox & Game Pass Games | Any Worth It?!","15750","299","49","Gaming"
"XKedSJ6gStA","🔴[Live] Surprise Top 1 Today🗿Day 19 New Season Grandmaster Road to Top-1👽🔥-Garena Free Fire🔥!!","233988","11792","62","Gaming"
"uq5bJBKEqcA","my Little Sister CONTROLS my Fortnite Game","9296611","49264","5218","Gaming"
"A200yIWoM2c","iQOO 13 Unboxing and First Impression ! *120FPS Gaming*","1082621","47255","1768","Gaming"
"I3NNBgP02pU","Noob Emote Vs Pro Emote Challenge As Gaming Vs As Rana 😂 Who Will Win - Garena Free Fire","586622","18018","779","Gaming"
"EA0YC9m6D4s","Gaming Setup / Room Tour! - 2023 - Ultimate Small Room Setup!","2170769","52441","1748","Gaming"
"PP2Uvesx4ls","Cool Gaming Music 2024 ♫ Best Music Mix, NCS, Electronic, House ♫ Best Of EDM 2024","600859","7636","157","Gaming"
"SiHQG68HAlU","50 BEST PC Games of the Last 5 Years","448268","13833","1202","Gaming"
"pGfXKw2f5Cs","20 Survival Games THAT ARE HARDER THAN YOUR LIFE","685087","14873","1147","Gaming"
"381ECVue_Z0","PS5 Pro Review - Spot the Difference! (10 Games TESTED)","121839","2823","714","Gaming"
"VTANKurvhhI","I Accidentally Built a Working Transmission... (but it's still kind of bad)","16633","830","75","Gaming"
"K5AphFV34so","Top 25 MOST INSANE New Games from SUMMER GAME FEST coming in 2024 & 2025","1659300","12744","716","Gaming"
"bcWh6FAMUa8","1440p OLED or 4K Monitor for Gaming?","791743","57124","1345","Gaming"
"GdFIjsMfSc8","Are We Out of Touch? - $1000 Gaming PC Challenge","1943622","86784","3287","Gaming"
"xpW6P5vk1fs","PS5 Pro Unboxing - The Future of Console Gaming","137628","5487","558","Gaming"
"oR6k1-ZDZRk","I Bought The Best & Powerful GAMING Phone! 90 FPS 🔥 ""SD 8Gen 3""","87156","5000","296","Gaming"
"oR6k1-ZDZRk","I Bought The Best & Powerful GAMING Phone! 90 FPS 🔥 ""SD 8Gen 3""","87156","5000","296","Gaming"
"vXb1FJ9MGHE","Top 25 MOST INSANE New Games from GAMESCOM coming in 2024 & 2025","1289063","10953","805","Gaming"
"TOlIvcmrUFc","The Wiiiiiiiiiiiiiiide Gaming Setup","2133056","60611","2922","Gaming"
"NDIJUURngbc","The New M4 Mac Mini Is A Powerful  Gaming And Emulation Machine!","192273","4160","638","Gaming"
"Tt3c_9bgjQI","Are The Game Awards Rigged? Big Game of the Year Changes News","107","13","8","Gaming"
"0T5uzTKWPow","I Played Fortnite on World’s SMALLEST Keyboards","9576345","149063","8504","Gaming"
"d1K0kmKzdTE","បានស្រីស្អាតមក លែងចុកដៃហើយ !!! 🤣 | Gaming Cafe Simulator Part 05","132230","5007","360","Gaming"
"0e3GPea1Tyg","$456,000 Squid Game In Real Life!","669940622","18390603","616106","Gaming"
"PP2Uvesx4ls","Cool Gaming Music 2024 ♫ Best Music Mix, NCS, Electronic, House ♫ Best Of EDM 2024","600859","7636","157","Gaming"
"TOlIvcmrUFc","The Wiiiiiiiiiiiiiiide Gaming Setup","2133056","60611","2922","Gaming"
"Gf4j-x-WfGM","Building a Gaming PC w/ Built-in 4K Display - Future of PC Cases? (Hyte Y70 Touch)","809848","23962","869","Gaming"
"Y3wmprNAeuI","More Than A Game","0","10045","541","Gaming"
"rPkEFqM5qwE","The FASTEST Gaming PC Build EVER! - Ryzen 7 9800X3D & RTX 4090 w/ Gameplay Benchmarks!","143965","3542","766","Gaming"
"yVJNZTf5M88","20 Best Recent Games That Are NOW DIRT CHEAP","911507","21535","1343","Gaming"
"gAyU_f8b7Iw","Age of Apes ads review new level: Merge Gorilla #games #gameape #gaming","2911157","47655","0","Gaming"
"W3fR4EoUJMU","The True Cost of Digital Games - Microsoft’s New Xbox is their Worst Deal Ever","1312079","48144","5788","Gaming"
"GWJixdx9kgM","I Tried Gaming On A APPLE SETUP…","145747","3877","671","Gaming"
"oR6k1-ZDZRk","I Bought The Best & Powerful GAMING Phone! 90 FPS 🔥 ""SD 8Gen 3""","87156","5000","296","Gaming"
"HL7A6SPyPl0","Wofford Terriers vs. Duke Blue Devils | Full Game Highlights | ESPN College Basketball","161318","1914","127","Gaming"
"Xe26rdkZISg","“The Truth About Mr Beast & DogPack404” Controversy, Twitch “Adpocalypse” Blame Game, & Today’s News","657973","26370","4319","Gaming"
"RD5f9xGNgt8","Building the Ultimate All Razer Gaming Setup!","685442","18589","950","Gaming"
"JiQTweEdjoQ","The Red Magic Nova is the BEST Gaming Tablet for 2024, Hands On Review","207916","5335","615","Gaming"
"iQrtTkt9RLw","The Biggest Games Still To Come in 2024 - Fall Update","261966","4577","562","Gaming"
"ft9-X4XtSAE","RESTORING OLD KSRTC SUPER FAST BUS IN KERALA 🔥 Maalbro Gaming","445725","11947","587","Gaming"
"ri7tygIpAtM","I Built My Dream $20,000 Gaming Room!","252199","8926","822","Gaming"
"8LdCqVTj-50","TOP 15 NEW REALISTIC ULTRA Graphics Upcoming Games of 2024 (PS5, XBOX SERIES X/S, PC) [4K 60FPS HDR]","1029141","5664","324","Gaming"
"NDIJUURngbc","The New M4 Mac Mini Is A Powerful  Gaming And Emulation Machine!","192273","4160","638","Gaming"
"pa_a0eHDbMA","I Found 5 Games Like Minecraft 🔥 Under 100MB🤯 in 2024","749533","9290","863","Gaming"
"Mz_LDQvh8QM","The Hunger Games: The Ballad of Songbirds & Snakes","0","0","0","Gaming"
"r1t2wk4-2EA","Tecno Pocket GO First Look! A Ryzen Powered Handheld Gaming Console!","432924","17412","593","Gaming"
"L_Ewhkf8nEE","I'm Bored...So I built another Dream Gaming PC - O11 Vision Compact","279138","11335","946","Gaming"
"yyI5ASTUAAg","Gaming as a Perfectionist","380111","29197","2003","Gaming"
"0_Fi1GYOx3E","The Untold Story Of India's Gaming Industry [MINI-DOCUMENTARY]","91269","5606","290","Gaming"
"kGLRyeo0htk","Chicago Bulls vs. Houston Rockets - Full Game Highlights | CHSN Chicago Bulls","16489","121","30","Gaming"
"6fXtGn1kynI","Top 10 NEW Games of November 2024","1038383","23355","1842","Gaming"
"Ml1KCm-f-cQ","These YouTube Games Are ACTUALLY GOOD?!","53215","1309","110","Gaming"
"q45jxjne3BU","They left this in my driveway - Cluvens Scorpion Gaming Cockpit Review","5029562","111232","3958","Gaming"
"nKq-nMnibuo","Klay Thompson Talks First Game Back in Golden State & Steph Curry's 4th Quarter Takeover","36496","301","41","Gaming"
"Gf4j-x-WfGM","Building a Gaming PC w/ Built-in 4K Display - Future of PC Cases? (Hyte Y70 Touch)","809848","23962","869","Gaming"
"W3fR4EoUJMU","The True Cost of Digital Games - Microsoft’s New Xbox is their Worst Deal Ever","1312079","48144","5788","Gaming"
"DiKTbnGMpG4","My Mom CONTROLS my Fortnite Game 😡","2623257","28477","4496","Gaming"
"gdALoh973jY","I Built Mongraal's DREAM Gaming Setup!","361587","25800","484","Gaming"
"S7fawRzGEf8","Adding Govee T2 TV backlights to our PS5 Gaming Setup (Gifted) #Gaming #PS5 #godofwar","7914867","0","1215","Gaming"
"3cVQwFTsA4s","ASUS ROG Phone 9 Pro Edition | Gaming Review with Snapdragon 8 Elite!","62848","2647","414","Gaming"
"r1t2wk4-2EA","Tecno Pocket GO First Look! A Ryzen Powered Handheld Gaming Console!","432924","17412","593","Gaming"
"i4ycmU_KhQM","$1 VS $100,000 Gaming Setup! - Fortnite","2313411","29785","1529","Gaming"
"s3EhYOQt1TY","Gaming Grape Plays -  Hello Neighbor! (#Shocktober )","1243925","4818","560","Gaming"
"WNN9e4vyOzc","WHY is EVERYONE Buying This Gaming Laptop From Amazon?","202871","4133","311","Gaming"
"oR6k1-ZDZRk","I Bought The Best & Powerful GAMING Phone! 90 FPS 🔥 ""SD 8Gen 3""","87156","5000","296","Gaming"
"yuZtbsSrdwo","Xbox Lost the Console War. Now It’s Redefining Gaming. | WSJ The Economics Of","859646","15364","2083","Gaming"
"L_Ewhkf8nEE","I'm Bored...So I built another Dream Gaming PC - O11 Vision Compact","279138","11335","946","Gaming"
"oR7StfD8Puk","Testing New Diwali Crackers 2024 As Gaming Diwali Stash 😍","462799","17857","537","Gaming"
"yuZtbsSrdwo","Xbox Lost the Console War. Now It’s Redefining Gaming. | WSJ The Economics Of","859646","15364","2083","Gaming"
"T4xAQGwpO10","The PS5 Pro Killer Gaming PC","1455015","51906","5213","Gaming"
"yVJNZTf5M88","20 Best Recent Games That Are NOW DIRT CHEAP","911507","21535","1343","Gaming"
"rPkEFqM5qwE","The FASTEST Gaming PC Build EVER! - Ryzen 7 9800X3D & RTX 4090 w/ Gameplay Benchmarks!","143965","3542","766","Gaming"
"xrXM3t2k2Yw","Bo Nix's 4-TD game POWERS Broncos past Falcons, complete season sweep of NFC South | Game Recap","21520","278","31","Gaming"
"c7NcNh3OeeE","🔴 SRM GAMING ON LIVE 🔴","194204","2708","19","Gaming"
"KxPu3Pt4xEs","I TURNED My Mac Mini M4 into a GAMES CONSOLE!","70335","7768","411","Gaming"
"84cI80ZCHDI","Literally the Best $1000 Gaming PC Build!","277309","9774","796","Gaming"
"W3fR4EoUJMU","The True Cost of Digital Games - Microsoft’s New Xbox is their Worst Deal Ever","1312079","48144","5788","Gaming"
"nX3s0SH36tU","Franklin Finally Moved To His New Biggest Country In GTA 5 | SHINCHAN and CHOP","683570","10556","466","Gaming"
"pGfXKw2f5Cs","20 Survival Games THAT ARE HARDER THAN YOUR LIFE","685087","14873","1147","Gaming"
"xdKeeRQOnFs","Chicago Bulls vs. Cleveland Cavaliers - Full Game Highlights | CHSN Chicago Bulls","24519","551","19","Gaming"
"PP2Uvesx4ls","Cool Gaming Music 2024 ♫ Best Music Mix, NCS, Electronic, House ♫ Best Of EDM 2024","600859","7636","157","Gaming"
"DHekEUwiF40","🔴LIVE Unq Gamer | Pubg Mobile Punju VS Petta | Live Stream #2682","73505","4736","0","Gaming"
"84cI80ZCHDI","Literally the Best $1000 Gaming PC Build!","277309","9774","796","Gaming"
"-DnrZUa3P4Q","Best Nightcore Mix 2024 ♫ Gaming Music Mix ♫ New Music 2024 EDM Gaming Music","348563","6727","125","Gaming"
"L_Ewhkf8nEE","I'm Bored...So I built another Dream Gaming PC - O11 Vision Compact","279138","11335","946","Gaming"
"DiKTbnGMpG4","My Mom CONTROLS my Fortnite Game 😡","2623345","28477","4496","Gaming"
"azSZtNtRZEQ","Gamers Are Awesome - Episode 150","195550","3533","67","Gaming"
